id,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,host_response_rate,instant_bookable,last_review,latitude,longitude,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,price
20746223,House,Private room,2,1,Real Bed,moderate,TRUE,SF,t,t,,f,7/5/17,37.78375024,-122.4570482,4,100,94118,1,1,150
16766700,Apartment,Private room,2,1,Real Bed,flexible,TRUE,NYC,t,f,100%,f,8/8/17,40.80097087,-73.94890082,8,97,10026,1,1,89
20652600,Apartment,Private room,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,t,9/26/17,40.71062865,-73.99526227,90,92,10002,1,1,112
16570684,House,Private room,2,1,Real Bed,flexible,TRUE,NYC,t,f,88%,f,,40.58060451,-73.94463827,0,NA,11235,1,1,100
4435766,Apartment,Private room,2,1,Real Bed,moderate,FALSE,NYC,t,t,,f,7/21/16,40.82082663,-73.9579534,3,73,10031,1,1,39
16269256,House,Entire home/apt,5,1,Real Bed,strict,TRUE,LA,t,t,91%,f,4/16/17,34.07770351,-118.2694625,64,100,90026,2,2,178
7051813,Apartment,Entire home/apt,4,1.5,Real Bed,flexible,FALSE,Chicago,t,t,91%,f,5/7/17,41.92651212,-87.6600585,8,88,60614,1,3,200
20745174,Apartment,Entire home/apt,5,2,Real Bed,moderate,TRUE,NYC,t,t,100%,f,9/28/17,40.59544419,-73.97087056,53,97,11223,3,4,150
1255828,Townhouse,Private room,2,1,Real Bed,moderate,TRUE,NYC,t,f,,f,,40.64662976,-74.00068149,0,NA,11232,1,2,90
16814382,House,Private room,2,1.5,Real Bed,strict,FALSE,NYC,t,t,100%,f,9/5/17,40.67941522,-73.97078314,12,92,11238,1,1,90
1393654,Condominium,Private room,2,1,Real Bed,strict,TRUE,LA,t,t,100%,t,4/30/17,34.08472284,-118.3731336,21,98,90069,1,1,80
3896813,House,Private room,2,1,Real Bed,moderate,FALSE,NYC,t,t,,f,8/31/16,40.65783359,-73.95669832,4,95,11225,1,1,60
